id,from_node,to_node,length,hp_type,capacity,direction,costs,losses
0,forks-12,forks-0,470,DN-150,2728.789249,1,689812.4785367234,33.88520740314016
1,forks-0,consumers-0,240,DN-150,2597.930231,1,350084.5539091632,16.93023064858368
2,forks-0,forks-1,390,DN-32,96.973811,1,304844.92190407513,12.270005163411449
3,forks-1,forks-2,60,DN-32,84.703806,1,46582.9949586126,1.8052349874618001
4,forks-2,forks-3,200,DN-32,82.898571,1,155121.56753889698,5.977010888971
5,forks-3,consumers-1,100,DN-32,76.92156,1,77304.05022746,2.9215599327799997
6,forks-1,forks-11,460,,0.0,0,0.0,0.0
7,forks-11,forks-10,560,,0.0,0,0.0,0.0
8,forks-10,forks-9,780,,0.0,0,0.0,0.0
9,forks-9,forks-8,680,,0.0,0,0.0,0.0
10,forks-8,consumers-4,240,DN-32,117.091562,1,189670.7817800808,8.0915616964344
11,forks-8,forks-7,570,DN-32,137.619588,-1,455494.0849470006,20.5280267137458
12,forks-7,consumers-3,240,DN-150,192.075276,1,310370.6249959872,10.07527624240128
13,forks-7,forks-6,420,DN-150,3015.9076,-1,624722.3323857599,31.712039111424
14,forks-6,producers-1,250,DN-150,3034.840006,-1,372184.07390316995,18.932405137808
15,forks-6,forks-5,580,,0.0,0,0.0,0.0
16,forks-5,forks-4,1030,,0.0,0,0.0,0.0
17,forks-4,forks-12,1000,,0.0,0,0.0,0.0
18,forks-7,consumers-2,330,DN-150,2654.500697,1,482650.2641200878,23.500696650678716
19,forks-12,producers-0,190,DN-150,2742.518493,-1,279039.7801702226,13.729244114290239
